source,period,model,symbol,direction,opened_at,closed_at,r,pnl,coin_ret,btc_ret,aligned_btc,aligned_coin
live-scalp,live,vwap_clone,DOGE-USDT-SWAP,long,2026-09-20T08:15:00+00:00,2026-09-20T08:30:00+00:00,-1.4598042244495337,-13.96477581,-0.0028251912889936115,-0.0014909714089431647,misaligned,misaligned
live-scalp,live,vwap_clone,DOGE-USDT-SWAP,long,2026-09-20T09:00:00+00:00,2026-09-20T09:45:00+00:00,1.0722031126475413,11.644368755999999,0.0012971698113206642,0.0023990648009213356,aligned,aligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,long,2026-09-20T10:30:00+00:00,2026-09-20T10:30:00+00:00,-2.0059634151537886,-8.804633894,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,PENGU-USDT-SWAP,long,2026-09-20T10:30:00+00:00,2026-09-20T10:30:00+00:00,-1.4611936557834904,-13.96472856,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,DOGE-USDT-SWAP,long,2026-09-20T11:00:00+00:00,2026-09-20T12:00:00+00:00,0.9872997015534754,9.872058678,0.006140040146416226,0.0015297657056152492,aligned,aligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,long,2026-09-20T11:15:00+00:00,2026-09-20T11:15:00+00:00,0.04502979096887964,0.3082125237,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,PENGU-USDT-SWAP,long,2026-09-20T11:30:00+00:00,2026-09-20T11:45:00+00:00,0.6930468016149386,12.57033863,0.004848643690211096,0.00029221114306787754,aligned,aligned
live-scalp,live,vwap_clone,DOGE-USDT-SWAP,long,2026-09-20T12:15:00+00:00,2026-09-20T12:15:00+00:00,-1.4711010720945523,-13.74040425,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,DOGE-USDT-SWAP,long,2026-09-20T12:45:00+00:00,2026-09-20T14:15:00+00:00,-0.5098836804133703,-4.411255664,-0.0022321428571427937,0.0005369494559035459,aligned,misaligned
live-scalp,live,vwap_clone,ETHFI-USDT-SWAP,long,2026-09-20T13:00:00+00:00,2026-09-20T13:15:00+00:00,-0.33286774818092457,-4.40403699,-0.0028864193967383933,-0.0007103375220894881,misaligned,misaligned
live-scalp,live,vwap_clone,ETHFI-USDT-SWAP,long,2026-09-20T13:45:00+00:00,2026-09-20T14:15:00+00:00,-1.1962657149160263,-26.65202051,0.00014520110352833626,-0.00039985148373455903,misaligned,aligned
live-scalp,live,vwap_clone,ETHFI-USDT-SWAP,long,2026-09-20T14:30:00+00:00,2026-09-20T15:15:00+00:00,1.2020024474367466,17.743558754,0.005648081100651625,0.0003709778678822051,aligned,aligned
live-scalp,live,vwap_clone,PENGU-USDT-SWAP,long,2026-09-20T14:30:00+00:00,2026-09-20T15:00:00+00:00,1.254129704241033,22.09535983,0.002630540576088247,0.001516170416562268,aligned,aligned
live-scalp,live,vwap_clone,DOGE-USDT-SWAP,long,2026-09-20T15:15:00+00:00,2026-09-20T16:00:00+00:00,0.955727914486563,9.439401367,0.01230949589683461,0.006134368213405628,aligned,aligned
live-scalp,live,vwap_clone,PENGU-USDT-SWAP,long,2026-09-20T15:15:00+00:00,2026-09-20T15:45:00+00:00,1.145862626632153,15.444122359,0.012211134453781414,0.0030361773931291136,aligned,aligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-20T15:30:00+00:00,2026-09-20T15:30:00+00:00,-1.8566875963202527,-15.44632275,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,ETHFI-USDT-SWAP,long,2026-09-20T15:45:00+00:00,2026-09-20T15:45:00+00:00,1.5489344273828427,16.489028096000002,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,AVAX-USDT-SWAP,short,2026-09-20T16:15:00+00:00,2026-09-20T16:30:00+00:00,-0.1037899124784032,-7.124280588,0.009074573225516636,0.002504125275275104,misaligned,misaligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-20T16:30:00+00:00,2026-09-20T16:30:00+00:00,-1.5831777379059202,-19.53709934,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-20T17:00:00+00:00,2026-09-20T21:15:00+00:00,0.9948121022733544,12.800342997,-0.004280793449252918,-0.004280793449252918,aligned,aligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-20T17:00:00+00:00,2026-09-20T22:00:00+00:00,-0.26721677015780537,-7.085886865,0.0038057872250005786,0.0008115773541594873,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-20T17:00:00+00:00,2026-09-20T17:30:00+00:00,0.9405686852876118,11.82754356,0.006015859994531025,0.0019310368608829176,misaligned,misaligned
live-scalp,live,vwap_clone,AVAX-USDT-SWAP,short,2026-09-20T17:45:00+00:00,2026-09-20T18:00:00+00:00,-1.1442424909949103,-57.14314174,0.021332607116920865,-0.0005547412501895055,aligned,misaligned
live-scalp,live,vwap_clone,NEAR-USDT-SWAP,short,2026-09-20T18:15:00+00:00,2026-09-20T20:00:00+00:00,-1.0696938132761546,-111.5250618,0.013063840276066108,-0.0015384766865397248,aligned,misaligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,short,2026-09-20T20:15:00+00:00,2026-09-20T21:00:00+00:00,0.7348092842134348,15.63470863,-0.004301355578727906,-0.005064670044756414,aligned,aligned
