bar,symbol,ts,open,close
4H,XRP-USDT-SWAP,2024-11-12T16:00:00+00:00,0.6787,0.6926
4H,XRP-USDT-SWAP,2024-11-14T20:00:00+00:00,0.7902,0.7735
4H,XRP-USDT-SWAP,2024-11-15T00:00:00+00:00,0.7735,0.8209
4H,XRP-USDT-SWAP,2024-11-15T16:00:00+00:00,0.8659,0.8981
4H,XRP-USDT-SWAP,2024-11-16T00:00:00+00:00,0.892,0.9081
4H,XRP-USDT-SWAP,2024-11-16T04:00:00+00:00,0.9081,0.9719
4H,XRP-USDT-SWAP,2024-11-16T08:00:00+00:00,0.9719,1.0493
4H,XRP-USDT-SWAP,2024-11-16T12:00:00+00:00,1.0493,1.1099
4H,XRP-USDT-SWAP,2024-11-16T16:00:00+00:00,1.11,1.1861
4H,XRP-USDT-SWAP,2024-11-22T00:00:00+00:00,1.2472,1.3845
4H,XRP-USDT-SWAP,2024-11-22T04:00:00+00:00,1.3845,1.3642
4H,XRP-USDT-SWAP,2024-11-22T08:00:00+00:00,1.364,1.4655
4H,XRP-USDT-SWAP,2024-11-22T12:00:00+00:00,1.4655,1.4415
4H,XRP-USDT-SWAP,2024-11-25T00:00:00+00:00,1.4331,1.4025
4H,XRP-USDT-SWAP,2024-11-29T00:00:00+00:00,1.5426,1.5527
4H,XRP-USDT-SWAP,2024-11-29T04:00:00+00:00,1.5527,1.5904
4H,XRP-USDT-SWAP,2024-11-29T12:00:00+00:00,1.6535,1.7111
4H,XRP-USDT-SWAP,2024-11-29T16:00:00+00:00,1.7111,1.7264
4H,XRP-USDT-SWAP,2024-11-30T00:00:00+00:00,1.8008,1.8186
4H,XRP-USDT-SWAP,2024-11-30T08:00:00+00:00,1.9128,1.8968
4H,XRP-USDT-SWAP,2024-12-01T00:00:00+00:00,1.9521,1.891
4H,XRP-USDT-SWAP,2024-12-01T04:00:00+00:00,1.8909,1.8726
4H,XRP-USDT-SWAP,2024-12-01T20:00:00+00:00,2.1257,2.2943
4H,XRP-USDT-SWAP,2024-12-02T04:00:00+00:00,2.3953,2.4414
4H,XRP-USDT-SWAP,2024-12-02T16:00:00+00:00,2.6992,2.747
4H,XRP-USDT-SWAP,2024-12-02T20:00:00+00:00,2.7468,2.7234
