period,symbol,model,first_bar,last_bar,bars,years,trades,win_rate_pct,profit_factor,avg_r,avg_win_pct,avg_loss_pct,payoff,max_drawdown_pct,account_max_drawdown_pct,total_return_pct,buy_hold_pct,cost_pct,cost_per_r,fees,slippage_cost,funding,avg_stop_distance_pct,median_hold_bars,max_hold_bars
B,LINK-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,40,37.5,1.1007999047463197,0.0661977611128167,5.953254607735115,-3.6292901226948833,1.6403358250441002,-11.803053113,-11.251739597186571,2.258786299999982,-18.198173263216166,0.1702759396342527,0.054943375838415374,201.58411444399997,26.877886550299998,-8.0997026787,3.322023886163678,6.5,79.0
B,LINK-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,163,36.809815950920246,1.0138195503213465,0.0026897839049461756,2.6580541106713182,-1.7114584744823667,1.5530929615311004,-5.23863122773,-5.638764937134654,0.17669700000000343,-18.198173263216166,0.23081890706231006,0.04952988505425508,512.7447457999999,276.49386627030003,-2.3749086140999998,5.326278322490612,1.0,8.0
B,ADA-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,47,27.659574468085108,0.7104505845615308,-0.21925487743317065,6.252373175938377,-3.782029486530542,1.6531793837689017,-17.690116678799995,-17.83546566148577,-10.179199379999993,-50.24401580292819,0.169472916198163,0.051720337527329026,197.09980589700007,26.2799662092,-3.4865535177999996,3.509590821144425,4.0,30.0
B,ADA-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,153,34.64052287581699,1.143737665593738,0.031062644496772346,3.962412104448597,-1.8148737584045764,2.1832990234714087,-6.178515688939999,-5.831533556156998,4.2088874999999915,-50.24401580292819,0.26345135964426525,0.0534644938228085,476.53822922819995,359.8177068179,-3.2226663389,5.451043854683824,1.0,8.0
B,SUI-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,43,27.906976744186046,0.723266605062429,-0.20749544786268628,8.710828908899893,-4.641214681226436,1.8768424878372716,-14.656877221999999,-14.741788113167765,-8.894207189999992,-6.060965484521397,0.1693957004483075,0.04267542712053929,153.590880479,20.478776963299993,-5.2813039667999995,4.4771182460936805,6.0,33.0
B,SUI-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,162,40.123456790123456,0.9927401661289111,-0.0017548040098440954,3.804575737334668,-2.606368429876762,1.4597229208744527,-5.91492003277,-5.951000439338083,-0.6685324699999939,-6.060965484521397,0.2588102836473774,0.04494124037212472,421.2275743219999,305.5695293926,-1.572581230199,6.577263401947289,1.0,7.0
B,NEAR-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,42,33.33333333333333,0.9314170071460084,-0.04756975025305858,6.974403046716726,-4.394246921270808,1.5871668505828394,-8.458898096,-9.120789243085902,-2.381366169999999,-42.9223000488679,0.16994613141140782,0.04436821441948789,164.12890652499996,21.88385372840001,-4.6420340874,4.019579661309399,6.5,25.0
B,NEAR-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,149,36.91275167785235,1.078764224950092,0.017879141188103936,3.9211723415786497,-2.4903904940906387,1.5745210844978181,-6.581358224940001,-6.581358230000001,2.3463496999999833,-42.9223000488679,0.2503763405371717,0.04173631437157802,370.44489402199986,248.3107826782,0.9706655767800003,6.663527440198248,1.0,9.0
B,PENGU-USDT-SWAP,ema_trend,2024-12-17T12:00:00+00:00,2026-09-18T08:00:00+00:00,3840,1.75,29,24.137931034482758,0.6021305332778388,-0.3109662491383297,9.194006264938633,-5.6982254380366175,1.6134858764216466,-14.2306047834,-14.89296473020606,-8.850532820000012,nan,0.16876190017755424,0.034111027231105207,81.856337483,10.914170433199999,-2.5017447454,5.3380473581037355,6.0,37.0
B,PENGU-USDT-SWAP,trend,2024-12-17T12:00:00+00:00,2026-09-18T08:00:00+00:00,3840,1.75,117,41.02564102564102,0.9642693992884948,-0.007677613859735883,4.405806483661649,-3.0908024599929487,1.4254571557677937,-5.1629176386500015,-5.319851022573497,-1.07951193000001,nan,0.27409326281592444,0.03710801699878295,241.53522207530006,199.22106331769993,-1.38211872097,8.855366808917744,1.0,10.0
B,ETHFI-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,49,34.69387755102041,1.0079716172449609,0.005361557298638656,9.000087052470656,-5.582879112512374,1.6120870380839198,-11.9722525318,-11.749402235601657,-0.22833612000000558,-71.13329174464546,0.1701083132753181,0.03477739583309434,145.04566759499994,19.339423771099998,-0.9264109985000001,5.140052656847209,8.0,36.0
B,ETHFI-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,150,35.333333333333336,0.7784177961486924,-0.052705531136387124,4.30163364453558,-2.957521991739739,1.4544722428269006,-10.155433331719996,-10.204239643787115,-7.265649649999995,-71.13329174464546,0.261014508571404,0.03632813644979278,300.7326168685001,224.32259777719995,0.03895297114000007,7.981562113005581,1.0,10.0
